  -0.1899928, -0.1835214, -0.1725491, -0.1586244, -0.1416711, -0.121778, 
    -0.09884387, -0.07135093, -0.03621183, 0.006242063, 0.05563407, 
    0.1109827, 0.1717298, 0.2373147, 0.3069972, 0.3802568, 0.4565694, 
    0.535027, 0.6151831, 0.6964791, 0.7781533, 0.8595276, 0.9401106, 1.01931, 
    1.096446, 1.170884, 1.242041, 1.309236, 1.371926, 1.429539, 1.481315, 
    1.526749, 1.565125, 1.595962, 1.618478, 1.631938, 1.635045, 1.6282, 
    1.61228, 1.588036, 1.556412, 1.518187, 1.474118, 1.425122, 1.371982, 
    1.315554, 1.256674, 1.196103, 1.134769, 1.073395, 1.012926, 0.9541382, 
    0.8978094, 0.8448749, 0.7960814, 0.7523267, 0.7144036, 0.6831908, 
    0.6595047, 0.6441543, 0.6380003, 0.6418956, 0.6566469, 0.6832153, 
    0.7228143, 0.775337, 0.8396896, 0.9148712, 1.000051, 1.094029, 1.19604, 
    1.304931, 1.41988, 1.539914, 1.663879, 1.79096, 1.920035, 2.050089, 
    2.180467, 2.309717, 2.437093, 2.561476, 2.682025, 2.797497, 2.906946, 
    3.009455, 3.103719, 3.188998, 3.264108, 3.32806, 3.379589, 3.417704, 
    3.441329, 3.451059, 3.447703, 3.43213, 3.405578, 3.368789, 3.323136, 
    3.269382, 3.20855, 3.141672, 3.0699, 2.994101, 2.915649, 2.835268, 
    2.75408, 2.673252, 2.593765, 2.516838, 2.443352, 2.374585, 2.311722, 
    2.255626, 2.20756, 2.168805, 2.140409, 2.1235, 2.119359, 2.129186,
  0.04416572, 0.05731855, 0.07415441, 0.09318647, 0.1143671, 0.1376447, 
    0.1629284, 0.1916122, 0.227239, 0.269342, 0.3176285, 0.3711891, 
    0.4295509, 0.492173, 0.5584479, 0.6276736, 0.6992338, 0.7727406, 0.84745, 
    0.922919, 0.9982979, 1.073266, 1.147205, 1.21935, 1.289362, 1.356541, 
    1.420175, 1.479955, 1.535188, 1.585116, 1.629479, 1.667514, 1.698626, 
    1.722332, 1.737963, 1.744776, 1.741106, 1.727474, 1.704665, 1.673545, 
    1.634864, 1.589459, 1.538153, 1.481804, 1.421198, 1.357168, 1.290596, 
    1.222188, 1.152836, 1.083356, 1.014578, 0.9473339, 0.882441, 0.8207426, 
    0.7630507, 0.7102089, 0.6630762, 0.6224601, 0.5891316, 0.5639994, 
    0.5479072, 0.5415722, 0.5460058, 0.561965, 0.59027, 0.6304123, 0.6816021, 
    0.7428793, 0.813323, 0.8921819, 0.9785643, 1.071501, 1.170139, 1.273782, 
    1.381335, 1.491848, 1.604705, 1.718693, 1.833386, 1.947561, 2.060145, 
    2.170563, 2.277641, 2.380762, 2.478769, 2.570845, 2.655729, 2.73273, 
    2.801214, 2.859622, 2.907276, 2.943339, 2.966589, 2.977666, 2.977395, 
    2.966706, 2.946243, 2.917173, 2.88027, 2.83641, 2.786527, 2.731555, 
